Subject,Message,Spam/Ham
re : tenaska iv,"i tried calling you this am but your phone rolled to someone else ' s voicemail . can you call me when you get a chance ?
- - - - - original message - - - - -
from : farmer , daren j .
sent : thursday , january 10 , 2002 2 : 06 pm
to : hill , garrick
subject : re : tenaska iv
rick ,
i ' ve had a couple of meetings today . i ' m sorry i ' m just getting back to you . i tried to call but the voice mail said that you were unavailable . so , give me a call when you get a chance .
d
- - - - - original message - - - - -
from : hill , garrick
sent : wednesday , january 09 , 2002 6 : 11 pm
to : farmer , daren j .
subject : re : tenaska iv
i ' ll call you on thursday . . . what ' s a good time ?
- - - - - original message - - - - -
from : farmer , daren j .
sent : wednesday , january 09 , 2002 3 : 03 pm
to : hill , garrick
cc : olsen , michael
subject : tenaska iv
rick ,
we need to talk about the ability of ena to continue its the current role as agent of tenaska iv .
1 ) since the end on november , ena has not been able to complete gas trading transactions . we cannot find any counterparties to trade physical gas in texas . this , of course , is due to the bankruptcy . as a result , we are not able to sale tenaska ' s excess fuel . we did contact brazos to ask if they would buy a portion of the gas at a gas daily price , but they do not want it ( gas daily pricing has been below the firm contract price for a while ) . in december , we had to cut 10 , 000 / day from the 7 th through the 27 th . for january , we haven ' t had to cut yet , but i am sure that the pipe will ask us to do this in the near future .
2 ) for november activity ( which was settled in dec ) , ena owes tenaska iv for the excess supply that we sold . however , due to the bankruptcy , we could not make payments out . ena could not pay the suppliers or the pipeline . james armstrong paid the counterparties directly . i think that he should continue to do this for dec and jan . we should not transfer any funds from tenaska iv to ena .
i don ' t know how enron ' s ownership in the plant factors out in the bankruptcy preceding . but we need to determine how to go forward with the fuel management .
please give me a call or e - mail me . we can get together sometime thurs or fri morning .
d",spam
ena offsite,"my suggestions :
1 ) mountains ( jackson hole , aspen , banff ) are a nice respite from the houston summer . san diego ( or the baja peninsula ) are also nice - can combine golf , fishing and all kinds of outdoor activities . more exotic locales could include dominican republic , cabo san lucas ( 5 championship courses in vicinity ) , virgin islands , bermuda . i ' m not a big fan of las vegas ( although there is some good golf in the area ) .
2 ) focus should be on ( i ) improving communication across business units ( i ' m surprised by the number of people on this e - mail that i don ' t know ( well ) ) - perhaps presentations by each business unit reviewing 2000 and lh 2001 , ( ii ) identifying opportunities to profit from volatility in commodity and financial markets , ( iii ) create a "" road map "" strategic plan for the balance of 2001 and full year 2002 .
3 ) i love mountain climbing ( lived in switzerland for four years ) and am happy to organize beginner course and / or expedition with trained mountaineers . great team building therapy . otherwise , i ' m always up for golf , deep sea fishing , go kart racing , kayaking , skeet shooting , paint ball .
4 ) occasional off - sites are a great way to build / maintain morale and make sure everyone ' s on the same page regarding strategy / direction .
call if you want to discuss in more detail . i ' m serious about organizing mountain climbing .
mlm
- - - - - original message - - - - -
from : lavorato , john
sent : 02 may 2001 16 : 29
to : allen , phillip ; arnold , john ; arora , harry ; baughman , edward d . ; beck , sally ; belden , tim ; calger , christopher ; collonges , remi ; colwell , wes ; davies , derek ; davis , mark dana ; deffner , joseph ; devries , glen ; devries , paul ; duran , w david ; foster , chris h . ; gilbert - smith , doug ; gonzalez , orlando ; haedicke , mark ; herndon , rogers ; jacoby , ben ; josey , scott ; kishkill , joe ; kitagawa , kyle ; lagrasta , fred ; lavorato , john ; ledain , eric ; luce , laura ; martin , thomas a . ; mckay , jonathan ; miller , don ; miller , michael l . ; milnthorp , rob ; mrha , jean ; neal , scott ; oxley , david ; parquet , david ; perlman , beth ; presto , kevin ; redmond , brian ; shively , hunter s . ; sturm , fletcher ; swerzbin , mike ; thompson , c . john ; tricoli , carl ; tycholiz , barry ; vickers , frank ; wiggs , brett ; wolfe , greg ; yzaguirre , max ; zufferli , john
cc : kitchen , louise
subject :
hello everyone .
in december we decided to kill our planned offsite due to market volatility . louise and i would like to get everyone together offsite , probably in late june ( once louise is back from holiday ( just kidding ) ) . i think it ' s time to go have a little fun with the group driving enron ' s success .
i would like suggestions as to :
1 ) where to go .
2 ) what should be the focus of the business meetings .
3 ) should we have business meetings or should we do something else ( ie . climb a mountain ) ? i ' m not a strong bid on climbing a mountain .
4 ) and any other ideas you have .
in addition i would like to start having staff meetings about once a month . the first one will be friday may 11 th at 2 : 30 p . m . please add this to your schedule . i have invited everyone who has p / l responsibility . portland , calgary and toronto will have to be on video or phone conference .
regards
john",ham
global strategic sourcing travel services survey,"a key goal of global strategic sourcing is to set increasingly higher standards of excellence and customer satisfaction . to help us better achieve that goal , we would like to obtain some insights from you in order to develop the best possible overall travel program for enron .
please take a few minutes to complete this confidential survey , as your input is important and vital to the success of this program .
thank you ,
global strategic sourcing
experiencing technical problems ? if this link does not automatically launch the questionnaire :
1 . launch by copying the link above into your browser , or
2 . if you continue to have technical difficulties , please send an email message to confirmit @ enron . com
3 . please do not forward this link to anyone else , as the responses should remain confidential .",ham
fw : memo : re : your work phone number,"hi ,
i am forwarding an email from a former bnp paribas colleague of mine who now works at hsbc .
can you please advise ?
thanks ,
iris
- - - - - original message - - - - -
from : antonella . saulle @ hsbcib . com @ enron [ mailto : imceanotes - antonella + 2 esaulle + 40 hsbcib + 2 ecom + 40 enron @ enron . com ]
sent : tuesday , may 22 , 2001 1 : 30 am
to : mack , iris
subject : memo : re : your work phone number
iris
i would like you to put me in contact with s / one at enron here in london that
deals with weather derivatives and would be in a position to sell us options on
weather derivatives ( temperature , cat ) . let me know if you are able to do that
or if i need to work internally here in order to find out whom we have contacts
with at enron .
if you want to call me my direct line is + 44 207 336 - 2836 . alternatively i could
call you but do bear in mind that i leave the office around 6 : 30 - 7 pm london
time . send me an email and let me know when is a good time to talk and i will
call you back .
thanks in advance .
antonella
this transmission has been issued by a member of the hsbc group ( "" hsbc "" )
for the information of the addressee only and should not be reproduced
and / or distributed to any other person . each page attached hereto must
be read in conjunction with any disclaimer which forms part of it . unless
otherwise stated , this transmission is neither an offer nor the solicitation
of an offer to sell or purchase any investment . its contents are based on
information obtained from sources believed to be reliable but hsbc makes
no representation and accepts no responsibility or liability as to its
completeness or accuracy .",spam
mhi turbines,"louise ,
brett wiggs is requesting approval for $ 300 , 000 in net spend related to what appears to be change orders and a new storage plan for the mhi turbines . the dash indicates that this request is made in the name of "" enron americas "" .
is this something that you have discussed with brett ? in your view , would this be an enron americas matter or an egs matter ? who presently owns p / l responsibility for the turbines ? at present , egs is now listed as the "" controlling party "" on the turbine position report .
in any case , i ' m fairly certain that a full dash would not be needed here - - an i - dash would be sufficient and i can work with brett on that .
regards ,
chip schneider
713 - 853 - 1789
ecn 2864",ham
ose puts the blame where it belongs by pointing out that the iso ' s favoritism towards dwr cost california billions in potential refunds .,"iso ' s role in sales is rapped : critics challenge the independence of the power grid operator .
by david whitney
bee washington bureau
( published aug . 3 , 2001 )
washington - - the independence of california ' s power transmission grid operator and its electricity sales to the state department of water resources came under fire at a house of representatives hearing thursday .
but grid operators said there was no way that arms - length transactions with the department of water resources could have been negotiated beginning in january when power blackouts were imminent and the state was the only buyer with money .
rep . doug ose , r - sacramento , chairman of the house governmental affairs energy policy panel , charged in a prepared statement to open the hearing that the cozy relationship between the dwr and the california independent system operator could result in the state forfeiting any claim to refunds for overcharges by power generators .
"" the state ' s interference into cal - iso has possibly cost californians billions of dollars in potential refunds , "" ose said . "" moreover , it represents a serious violation of the federal energy regulatory commission ' s regulations . ""
at issue is the fact that the iso is run by a five - person board appointed by the governor when , under federal law , it is supposed to be independent . additionally , the iso ' s biggest customer is the dwr , which buys power using state money to firm up power deliveries by utilities too cash - starved to buy it themselves .
last week , the ferc determined that the dwr would not be entitled to any rate refunds on its power contracts . in reaching that decision , the commission cited the agency ' s special access to information that gave it a competitive advantage over other purchasers .
terry m . winter , iso president and chief executive officer , said that at the time the department of water resources began buying power in january under these unusual circumstances , there were no other buyers willing to step in to keep power flowing to homes and businesses .
"" that occurred because the market was not functioning , "" winter said . "" they were the only creditworthy purchaser purchasing power . ""
but kevin madden , the regulatory commission ' s top lawyer , said the relationship between the iso and the department of water resources raises troubling questions .
"" dwr buying on behalf of the state is a market participant , "" he said . "" it shouldn ' t be in the iso control room . it shouldn ' t be allowed to cherry pick "" among power sellers .
madden said he expects the commission to rule soon on whether the iso should be reconstituted to ensure its independence .
the bee ' s david whitney can be reached at ( 202 ) 383 - 0004 or dwhitney @ mcclatchydc . com .
you can see this story at :
copyright ? the sacramento bee",ham
start date : 2 / 6 / 02 ; hourahead hour : 24 ;,"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",spam
fw : re ivanhoe e . s . d,"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",spam
start date : 2 / 6 / 02 ; hourahead hour : 24 ;,"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",spam
start date : 2 / 6 / 02 ; hourahead hour : 24 ;,"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",spam
fw : memo : re : your work phone number,"hi ,
i am forwarding an email from a former bnp paribas colleague of mine who now works at hsbc .
can you please advise ?
thanks ,
iris
- - - - - original message - - - - -
from : antonella . saulle @ hsbcib . com @ enron [ mailto : imceanotes - antonella + 2 esaulle + 40 hsbcib + 2 ecom + 40 enron @ enron . com ]
sent : tuesday , may 22 , 2001 1 : 30 am
to : mack , iris
subject : memo : re : your work phone number
iris
i would like you to put me in contact with s / one at enron here in london that
deals with weather derivatives and would be in a position to sell us options on
weather derivatives ( temperature , cat ) . let me know if you are able to do that
or if i need to work internally here in order to find out whom we have contacts
with at enron .
if you want to call me my direct line is + 44 207 336 - 2836 . alternatively i could
call you but do bear in mind that i leave the office around 6 : 30 - 7 pm london
time . send me an email and let me know when is a good time to talk and i will
call you back .
thanks in advance .
antonella
this transmission has been issued by a member of the hsbc group ( "" hsbc "" )
for the information of the addressee only and should not be reproduced
and / or distributed to any other person . each page attached hereto must
be read in conjunction with any disclaimer which forms part of it . unless
otherwise stated , this transmission is neither an offer nor the solicitation
of an offer to sell or purchase any investment . its contents are based on
information obtained from sources believed to be reliable but hsbc makes
no representation and accepts no responsibility or liability as to its
completeness or accuracy .",spam
henwood & psim,"stinson / vince ,
the henwood runs for dabhol are , at least temporarily , over . however , the
main modeller for henwood ( david yumigada ) works out of their california
office .
it maybe worth our while to have him come and demonstrate the runs , and
explain the modelling algorithm to the larger group .
in aparticular , now that i am going through some of the comments people have
raised on the psim model , i think there is value in understanding the way
henwood deals with hot and cold starts , ramp up costs , and with issues of
cycling plants .
i think understanding these will help in developing the next version of the
psim , and will also give the group here ideas to build into existing models .
this is a suggestion , and so please let me know if you see value in this .
regards ,
sandeep .",ham
start date : 2 / 6 / 02 ; hourahead hour : 24 ;,"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",spam
re : trading support operations - london,"i agree fully with the last sentence . e mail is not an appropriate forum to
discuss an issue like this . this may be somewhat moot given fernley ' s latest
e mail but i believe this warrants direct communication . fernley , i would
suggest you set up a discussion that would include this group and may grow to
include aa at some point to get their perspective directly . as i have
indicated before , i believe barry is a valuable asset but may need some more
managing .
ted murphy @ ect
02 / 09 / 2000 12 : 32 pm
to : fernley dyson / lon / ect @ ect
cc : rick buy / hou / ect @ ect , sally beck / hou / ect @ ect , richard
causey / corp / enron @ enron
subject : re : trading support operations - london
fernley ,
on january 25 , 1999 , i had breakfast in london with a shaking richard sage
who recounted the tail of barry threatening his bonus and employment for
doing exactly what jeff skilling told him to do in the previous november .
subsequently , richard was "" moved "" from his position and barry promoted . if
that is dealing with the situation , this actually reflects on your
credibility . if you think that an open communication , independent back
office message was sent to the back and middle office in houston and london
by virtue of your promotion of barry twice in 12 months , then you are sorely
mistaken .
on february 2 , 2000 the arthur andersen team , including tom bauer , john
sorrells and jim brown stated that barry was an issue in satisfactorily
completing the audit tasks from london .
i am not sure what we are attempting to accomplish here . you have dismissed
my "" advice "" and you need to do what you need to do .
if the goal is to get me to change my view , you have a big hole to dig out
of . i obviously can ' t change your point of view . i still feel a
responsiblity to express the views that i have and others are afraid to
surface . it is the inability for people to be heard and feel that they will
be supported when they step out on a limb that caused us to lose more money
trading than we ever have from a little office in the middle of nowhere .
need i go on .
let us stop the e - mail wars now . they serve no productive purpose .
ted
fernley dyson
02 / 09 / 2000 04 : 56 am
to : ted murphy / hou / ect @ ect
cc : rick buy / hou / ect @ ect , sally beck / hou / ect @ ect , richard
causey / corp / enron @ enron
subject : re : trading support operations - london
ted ,
we have had discussions about barry in the past and i have followed - up on
specific instances you have mentioned - i believe they date back to 1998 and
prior to my first hand experience of working with barry throughout 1999 , and
the people who raised concerns then acknowledge that the environment has
changed since then . we are not so barry - dependent . we have a team of quality
risk management professionals as evidenced by the fact that it is the primary
recruiting ground for the rac team ( david port , oliver gaylard ) .
barry ' s role is much less hands - on now and he is not our candidate for the
global products position - this will continue to be kevin sweeney . the role i
suggest for barry is the high level co - ordination of the operations team -
his energy , enthusiasm and ability to execute on a plan , combined with his
considerable institutional knowledge , making a superior candidate difficult
to find . frankly , i suggested steve young not for additional depth , but to
address the relationship issue that clearly exists - i do not belittle this
issue , and while i don ' t think that anyone can point to any "" prosecutable ""
offences that barry may have committed in recent history , his management
style doesn ' t help to promote the view that he is totally impartial and
objective . i will say that he has always been open and frank ( very frank )
with me - indeed if mally and sweeney had been as open we may have had a
different story to tell on helsinki .
as an aside , i have not been involved in or consulted on the ' world tour ' ,
although i know that barry suggested this sort of thing to sally a few weeks
back . i think it is great that brent price is involved , but we would be happy
to contribute staff to this too .
regards
fernley
to : fernley dyson / lon / ect @ ect
cc : rick buy , sally beck / hou / ect @ ect
subject : re : trading support operations - london
fernley ,
as we discussed earlier this year , i have serious concerns about barry that i
think are both well - founded and reasonably well documented . to be fair , i
will say that since ql of last year , i have not seen any further
"" prosecutable "" offenses and he has made some attempts at being more
communicative . however , i am clearly unwilling to stake my career on his
transformation , particulary with as influential person as john sherriff in
charge of the office . probably more to the point ,
it continues to concern me that london has not developed an operations team
that is not so barry - dependent . evidence to this effect are , the fact that
he is your only candidate for the global products position , that someone from
houston has to be part of the "" world tour "" in europe ( brent price ) , that
your candidates for a senior interim operations head in helsinki was david
port or richard sage , and that your suggestion for additional depth is steve
young .
further for the record , i believe that i am not the only one with whom barry
has a credibility issue - arthur andersen , other global products personnell ,
and other risk people in london have expressed similar concerns to me - i
just happen to be the most vocal .
ted
fernley dyson
02 / 08 / 2000 04 : 07 pm
to : richard causey / corp / enron @ enron
cc : rick buy / hou / ect @ ect , john sherriff / lon / ect @ ect , ted murphy / hou / ect @ ect ,
sally beck / hou / ect @ ect
subject : trading support operations - london
rick ,
not wishing to delay the comprehensive review of our trading support
function , particularly as it relates to our global products business , we
already have barry pearce taking a lead in this area .
the issue of concern is whether this should be an interim measure or a more
permanent solution . well - nothing is permanent in enron and i think barry
understands this as well as anybody . if we had a more suitable candidate , we
would give him / her the job .
i have seen barry develop and mature over the last 12 months along with the
team that we have built around him . i ' m convinced that he can add significant
value by drawing the global products support functions ' in to the fold ' .
however , he clearly has a credibility issue with ted in particular and ,
whilst i do not share ted ' s views , i do not hold barry out as a saint and i
can see recurring problems if such a key relationship is not well grounded .
i suggest that we continue to search for a candidate - known and trusted
within houston , who can instill confidence there . steve young ( head of rac in
london ) may be an interesting option , although i ' m sure he would not be easy
to replace . in the meantime we need barry to take things forward and i will
be monitoring the situation very closely .
regards
fernley .",ham
transfers from ees,"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",spam
